序號,統一登記證編碼,旅館名稱,電話,行動電話,postalcode,countycode,areacode,營業地址,緯度,經度,房間總數,最低價格,最高價格,設有對外營業之餐飲業,星級評鑑
"1","國際觀光飯店","新竹國賓大飯店","(03)5151111","","300","10018","10018010","300新竹市東區中華路2段188號","24.8064021","120.978266","257","10000","105000","v","五星"
"2","國際觀光飯店","新竹老爺大酒店","(03)5631122","","300","10018","10018010","300新竹市東區光復路1段227號","24.7818819","121.0206846","208","8000","16000","v",""
"3","001","荷米斯飯店","(03)5269999","","300","10018","10018020","300新竹市北區西大路606號1-9樓","120.961848","24.807045","72","1200","4800","0",""
"4","002","新苑庭園大飯店","(03)5226868","","300","10018","10018010","300新竹市東區大同路11號","120.969772","24.80301","65","6600","12600","0",""
"5","004","心園商務旅館","(03)5313525","","300","10018","10018010","300新竹市東區民權路223號","120.971966","24.811643","32","2200","4000","0",""
"6","006","微旅商務旅館","(03)5323183","","300","10018","10018010","300新竹市東區民生路268號","120.975287","24.81299","52","1380","9600","0",""
"7","008","風之海岸旅館","(03)5366095","","300","10018","10018020","300新竹市北區尚濱路36號","120.929566","24.842027","45","1680","2000","0",""
"8","012","豪美旅店","(03)5218441","","300","10018","10018010","300新竹市東區勝利路86號1-2F","120.969046","24.8013041","3","3000","3000","0",""
"9","017","棒球精緻旅店","(03)5261172","","300","10018","10018020","300新竹市北區西大路549號","120.961648","24.806983","31","1200","2000","0",""
"10","018","宏碁大道城飯店","(03)5282255","","300","10018","10018020","300新竹市北區北大路358號","120.961162","24.805541","118","1800","16800","0",""
"11","020","紫晶汽車旅館","(03)5620789","","300","10018","10018010","300新竹市東區頂竹里東南街53巷18號","120.9729241","24.7992643","43","1700","4500","0",""
"12","021","煙波大飯店-麗池館","(03)5203181","","300","10018","10018010","300新竹市東區明湖路773號1-6樓","120.967642","24.775333","66","9900","24200","v",""
"13","022","煙波大飯店-溫莎館","(03)5203181","","300","10018","10018010","300新竹市東區明湖路775巷51號","120.970584","24.776403","23","4800","10000","0",""
"14","023","普邑斯商務旅館","(03)5428681","","300","10018","10018010","300新竹市東區東區民權路193號","120.973479","24.8099537","57","2730","2880","0",""
"15","024","煙波大飯店-都會一館","(03)6120000","","300","10018","10018010","300新竹市東區民生路177號","120.976038","24.811241","238","8800","17600","0",""
"16","025","卡爾登飯店","(03)5259999","","300","10018","10018020","300新竹市北區北大路225號","120.965078","24.807818","117","7800","10000","v",""
"17","028","老爺旅社","(03)5711585","","300","10018","10018010","300新竹市東區光復路二段167號","120.992305","24.799204","18","1380","4800","0",""
"18","030","金頓大飯店","(03)5646655","","300","10018","10018010","300新竹市東區光復路一段238號4-12樓","121.021061","24.782017","88","3000","5000","0",""
"19","031","啊囉哈一六八汽車旅館","(03)5362277","","300","10018","10018020","300新竹市北區西濱路1段217號","120.9284614","24.8348079","32","5580","7180","0",""
"20","032","左岸假期旅店","(03)5284800","","300","10018","10018010","300新竹市東區中華路二段502號","120.969459","24.800803","39","2880","3980","0",""
"21","033","華泰經典旅店","(03)5243145","","300","10018","10018010","300新竹市東區勝利路15號","120.969483","24.801128","41","1400","2000","0",""
"22","034","東賓大旅社","(03)5223161","","300","10018","10018010","300新竹市東區林森路14號","120.970593","24.801897","47","800","3950","0",""
"23","035","金燕大飯店","(03)5227151","","300","10018","10018010","300新竹市東區民族路13號","120.971641","24.803217","39","1180","1500","0",""
"24","036","柿子紅快捷旅店","(03)5223232","","300","10018","10018010","300新竹市東區大同路23巷5號","120.969323","24.803254","39","2800","5880","0",""
"25","039","柏克萊大飯店","(03)5251155","","300","10018","10018020","300新竹市北區中正路151號","120.966481","24.809257","39","5450","12800","0",""
"26","041","賓城大旅社","(03)5269255","","300","10018","10018010","300新竹市東區中正路13號5-10樓","120.971006","24.802984","36","750","2300","0",""
"27","042","迎曦大飯店(文化店)","(03)5347266","","300","10018","10018010","300新竹市東區文化街10號2-10樓","120.971579","24.806165","174","8800","15000","0",""
"28","043","芝蘭賓館","(03)5254166","","300","10018","10018010","300新竹市東區中華路二段480號","120.970239","24.801339","48","680","3500","0",""
"29","044","元首大飯店","(03)5711111","","300","10018","10018010","300新竹市東區建功一路29號","120.997966","24.797262","32","1800","1800","0",""
"30","045","金座渡假汽車旅館","(03)5201833","","300","10018","10018010","300新竹市東區明湖路928-2，930號","120.97226","24.770503","25","1200","5500","0",""
"31","046","新都旅館","(03)5261131","","300","10018","10018010","300新竹市東區中南街12號","120.967763","24.801546","16","400","400","0",""
"32","047","國賓旅館","(03)5243164","","300","10018","10018010","300新竹市東區大同路21號","120.969571","24.803091","26","700","1100","0",""
"33","048","東城精品旅館","(03)5222648","","300","10018","10018010","300新竹市東區府後街5巷1號","120.970467","24.80516","28","600","800","0",""
"34","049","約客旅舘","(03)5361122","","300","10018","10018020","300新竹市北區東大路四段121號","120.932406","24.843114","38","6000","6000","0",""
"35","050","合悅都會商旅","(03)5234499","","300","10018","10018020","300新竹市北區西大路417號","120.963906","24.803971","18","3200","5500","0",""
"36","052","月圓汽車旅館","(03)5231728","","300","10018","10018020","300新竹市北區少年街88號","120.958018","24.806365","34","1680","1680","0",""
"37","053","豪美商旅有限公司","(03)5213333","","300","10018","10018020","300新竹市北區中正路107號11樓","120.967767","24.807198","21","3600","4400","0",""
"38","054","悅豪大飯店","(03)5267890","","300","10018","10018010","300新竹市東區復興路22號","120.969061","24.802881","35","2240","8980","0",""
"39","055","新苑名流都會館","(03)5211888","","300","10018","10018010","300新竹市東區大同路20號","120.969814","24.803314","35","6600","11600","0",""
"40","056","向日葵汽車旅館","(03)5359797","","300","10018","10018020","300新竹市北區經國路二段150號","120.96280594","24.8112676","31","2580","3780","0",""
"41","058","日月光國際大飯店","(03)5456363","","300","10018","10018010","300新竹市東區中央路355巷16號1，3-6樓","120.980442","24.81271","60","4800","6600","0",""
"42","059","湖山渡假汽車旅館","(03)5203000","","300","10018","10018010","300新竹市東區明湖路1001號","120.968467","24.772559","50","1580","1760","0",""
"43","060","馬德里經典旅館","(03)5305533","","300","10018","10018030","300新竹市香山區中華路四段729號","120.929134","24.788312","23","12000","12000","0",""
"44","061","水晶旅館有限公司","(03)5366789","","300","10018","10018020","300新竹市北區聖軍路75號","120.929541","24.842856","35","5200","6400","0",""
"45","062","城市花園汽車旅館","(03)5422989","","300","10018","10018020","300新竹市北區東大路二段377號","120.961833","24.819017","24","1960","4250","0",""
"46","065","承攜行旅新竹中央館","(03)5212323","","300","10018","10018010","300新竹市東區中央路106號B2，1樓，8-15樓","120.969475","24.806053","138","8000","10000","0",""
"47","066","新竹德威大飯店","(03)5297300","","300","10018","10018030","300新竹市香山區富群街3號","120.956679","24.768933","230","5500","8500","0",""
"48","067","新竹福華大飯店","(03)5282323","","300","10018","10018020","300新竹市北區中正路178號","120.966259","24.809958","165","4600","15000","v","四星"
"49","068","新竹伊普索酒店","(03)5169308","","300","10018","10018010","300新竹市東區公道五路2段111號","121.005757","24.798793","140","12000","25000","0",""
"50","069","芙洛麗大飯店","(03)6238899","","300","10018","10018010","300新竹市東區民族路69號","120.975153","24.806618","72","3000","8000","v",""
"51","070","吉發明月大飯店","(03)5281818","","300","10018","10018010","300新竹市東區東門街128號","120.96956","24.804251","64","3200","6000","0",""
"52","071","晶悅精品旅館","(03)6667567","","300","10018","10018010","300新竹市東區關新二街49號","121.018631","24.785585","57","2000","8000","0",""
"53","073","金沙商務旅舘","(03)5368221","","300","10018","10018020","300新竹市北區東濱街18號4樓","120.9260993","24.8327469","15","4000","6000","0",""
"54","074","新舍商旅新竹館","(03)5221082","","300","10018","10018020","300新竹市北區西大路658號","120.960896","24.808261","64","4200","5180","0",""
"55","075","暐順和選旅","(03)5715888","","300","10018","10018010","300新竹市東區光明里1鄰大學路16號","121.0008043","24.78915","173","9500","60000","v",""
"56","076","達龍商旅","(03)5166666","","300","10018","10018010","300新竹市東區東園里4鄰光復路二段808號","120.9847245","24.8023674","46","3200","8800","v",""
"57","077","水蜜桃時尚旅店","(03)5234138","","300","10018","10018010","300新竹市東區民族路29號","120.9719408","24.8037674","39","2200","8000","0",""
"58","078","琺何旅館有限公司","(03)5610011","","300","10018","10018010","300新竹市東區振興里振興路109號","120.9606446","24.7952615","42","13000","13000","0",""
"59","民宿001","或者風旅","(03)5220505","","300","10018","10018020","300新竹市北區大同路175號","24.807347","120.9665807","5","3600","5400","0",""
"60","民宿002","瘋人苑","","0955396833","300","10018","10018010","300新竹市東區新竹市世界街128號","24.807602","120.9671414","5","7200","8800","0",""