專用標識編號,中文名稱,地址,經度,緯度,電話或手機
"新竹縣旅館001號","佳緹商務汽車旅館","302新竹縣竹北市中華路439-1號","121.005272","24.841064","03-6560016"
"新竹縣旅館003號","喜優汽車旅館","302新竹縣竹北市中華路329號","121.004835","24.83645","03-5559900"
"新竹縣旅館005號","喬蓮大飯店","302新竹縣竹北市台元街33號","121.0111695","24.8394543","03-5518171"
"新竹縣旅館006號","哈密瓜汽車旅館-竹北館","302新竹縣竹北市中華路1432號","120.991736","24.8615294","03-5519678"
"新竹縣旅館007號","雲端商務旅館","302新竹縣竹北市新泰路102號","121.008203","24.8399448","03-5510129"
"新竹縣旅館008號","千禧園汽車旅館","310新竹縣竹東鎮東榮路51,53,59號及55巷1,2,3,5-20號","121.0987239","24.7206153","03-5101101"
"新竹縣旅館009號","千里福商務旅館","305新竹縣新埔鎮義民路3段88號","121.0436088","24.8400945","03-5892008"
"新竹縣旅館010號","小叮噹科學遊樂區生活大師會館","304新竹縣新豐鄉松柏村康和路199號","120.9800356","24.8692117","03-5592132"
"新竹縣旅館011號","雀之巢汽車旅館","303新竹縣湖口鄉千禧路266號","121.0306699","24.8896273","03-5903828"
"新竹縣旅館012號","哈客汽車旅館","305新竹縣新埔鎮義民路3段362巷126號","121.0695787","24.827909","03-5888789"
"新竹縣旅館015號","統一渡假村-馬武督","306新竹縣關西鎮金山里34號","121.2225713","24.7713709","03-5478889"
"新竹縣旅館016號","關西六福莊生態渡假旅館","306新竹縣關西鎮仁安里拱子溝60號","121.180603","24.825239","03-5475365"
"新竹縣旅館017號","I NEED精品汽車旅館","304新竹縣新豐鄉上坑村3鄰坑子口379號","120.9748105","24.8865332","03-5571234"
"新竹縣旅館018號","萬瑞渡假村","312新竹縣橫山鄉橫山村23號","121.1223488","24.711924","03-5934096"
"新竹縣旅館020號","萊馥健康休閒渡假村","306新竹縣關西鎮玉山里2鄰12號","121.2111216","24.7527291","03-5476199"
"新竹縣旅館021號","雪霸休閒渡假旅館","311新竹縣五峰鄉桃山村20鄰民石380-2至380-8號","121.1022942","24.559407","03-5856192"
"新竹縣旅館022號","惟爾精品行旅","302新竹縣竹北市中華路340號之15","121.004869","24.834607","03-5519261"
"新竹縣旅館023號","享豪大飯店","302新竹縣竹北市信義街7號","121.00934","24.836946","03-6565501"
"新竹縣旅館025號","風雅汽車旅館","304新竹縣新豐鄉埔和村6鄰埔頂145-10號至145-32號","120.999841","24.9237599","03-5689899"
"新竹縣旅館026號","新大竹北商旅","302新竹縣竹北市光明九路1號1至6樓","121.0037519","24.8286775","03-6572333"
"新竹縣旅館027號","如家商旅","302新竹縣竹北市中山路663號1,3,6,7樓","121.027916","24.8334947","03-5515099"
"新竹縣旅館028號","六福大旅社","302新竹縣竹北市中山路663號4-5樓","121.00975","24.83891","03-5551337"
"新竹縣旅館029號","春城汽車旅館","304新竹縣新豐鄉中興路176號","120.996048","24.876063","03-5573377"
"新竹縣旅館030號","青葉大旅館","304新竹縣新豐鄉員山村學府路130號6樓","120.9964445","24.871384","03-5592175"
"新竹縣旅館031號","新竹安捷國際酒店","302新竹縣竹北市復興三路二段168號14樓至18樓","121.035781","24.808827","03-6209777"
"新竹縣旅館032號","The One 人文客棧","305新竹縣新埔鎮照門里6鄰九芎湖32號","121.1041358","24.8615956","03-5890011"
"新竹縣旅館033號","H Motel 璽悅國際精品旅館","302新竹縣竹北市中山路116號1-2樓","121.0227366","24.8348471","03-5512777"
"新竹縣民宿001號","山上人家","311新竹縣五峰鄉大隘村茅圃468-5號","121.089844","24.604621","03-5851376"
"新竹縣民宿002號","觀兮天籟民宿","306新竹縣關西鎮錦山里錦山49號","121.248805","24.774203","03-5478495"
"新竹縣民宿005號","魯壁民宿","313新竹縣尖石鄉玉峰村宇老5號","121.279707","24.665777","03-5847203"
"新竹縣民宿006號","白蘭山莊","311新竹縣五峰鄉桃山村18鄰白蘭307-2號","121.08764","24.58558","03-5856222"
"新竹縣民宿007號","望月小築","311新竹縣五峰鄉桃山村18鄰白蘭305之1號","121.090321","24.585209","03-5856099"
"新竹縣民宿008號","塔克金民宿","313新竹縣尖石鄉秀巒村4鄰54號","121.28698453","24.61846341","03-5847566"
"新竹縣民宿011號","朝日溫泉民宿","313新竹縣尖石鄉錦屏村4鄰32號","121.210917","24.673261","03-5841111"
"新竹縣民宿013號","日日春民宿","313新竹縣尖石鄉秀巒村8鄰斯馬庫斯18號","121.307923","24.577985","03-5847708"
"新竹縣民宿016號","早苗莊園民宿","305新竹縣新埔鎮照門里7鄰5-3號","121.11058","24.84863","03-5899099"
"新竹縣民宿017號","飛鳳園","306新竹縣關西鎮新力里7鄰80-1號","121.124055","24.776158","03-5868170"
"新竹縣民宿018號","老農夫山莊","310新竹縣竹東鎮瑞峰里25-2號","121.0965637","24.661915","03-5949192"
"新竹縣民宿020號","佐岸","312新竹縣橫山鄉內灣村中山街2段51-7號","121.180805","24.70451","03-5849320"
"新竹縣民宿023號","星光流域","312新竹縣橫山鄉內灣村146號","121.182731","24.70644","03-5849433"
"新竹縣民宿024號","築夢民宿","310新竹縣竹東鎮瑞峰里2鄰26號","121.0965637","24.661915","03-5949177"
"新竹縣民宿026號","彎月民宿","312新竹縣橫山鄉內灣村中正路279號","121.180996","24.705824","03-5848062"
"新竹縣民宿027號","家人上山民宿","311新竹縣五峰鄉大隘村23鄰茅圃468-3號","121.08957013","24.60526798","03-5851376"
"新竹縣民宿030號","鍾媽媽民宿","312新竹縣橫山鄉內灣村81號","121.182914","24.704761","03-5849127"
"新竹縣民宿031號","北昇休閒山莊民宿","314新竹縣北埔鄉水?村8鄰10-3號","121.0537638","24.7070197","03-5804607"
"新竹縣民宿033號","山舍民宿","312新竹縣橫山鄉內灣村92號","121.183783","24.705256","03-5849988"
"新竹縣民宿034號","莫內花園民宿","308新竹縣寶山鄉油田村五仙路2段288巷136號","121.0124714","24.7144976","0937-156428"
"新竹縣民宿036號","二泉湖畔咖啡民宿","315新竹縣峨眉鄉湖光村12寮21-6號","120.9855036","24.6754654","037-603158"
"新竹縣民宿037號","八五山泉民宿","313新竹縣尖石鄉新樂村煤源段36-2號","121.263451","24.731367","03-5842560"
"新竹縣民宿042號","塵外","312新竹縣橫山鄉豐鄉村3鄰大山背37-1號","121.144777","24.695594","03-5933182"
"新竹縣民宿043號","會來民宿","313新竹縣尖石鄉義興村1鄰尖石46號","121.1767658","24.6861292","03-5841000"
"新竹縣民宿045號","金湖灣民宿","315新竹縣峨眉鄉湖光村15鄰西河排21-9號","120.978679","24.677243","037-603227"
"新竹縣民宿046號","普羅旺斯玫瑰莊園","305新竹縣新埔鎮巨埔里4鄰新龍路230巷50號","121.108756","24.837007","03-5890052"
"新竹縣民宿047號","山上莊園","311新竹縣五峰鄉大隘村23鄰468-9號","121.089845","24.60462","03-5851565"
"新竹縣民宿049號","愛上喜翁民宿","311新竹縣五峰鄉竹林村4鄰忠興93號","121.120479","24.607628","03-5856168"
"新竹縣民宿052號","永茂森林山莊民宿","314新竹縣北埔鄉外坪村?寮坪3-1號","121.074571","24.652789","03-5804807"
"新竹縣民宿054號","托斯卡尼田間民宿","306新竹縣關西鎮上林里15鄰坪林56-12號","121.133274","24.80634","03-5868628、 0932-280879"
"新竹縣民宿055號","悠然森活民宿","314新竹縣北埔鄉水?村11鄰面盆寮18-1號","121.051248","24.721766","03-5527799"
"新竹縣民宿056號","水田營地民宿","313新竹縣尖石鄉新樂村水田190號","121.258956","24.732509","03-5841005"
"新竹縣民宿059號","群園休閒民宿","313新竹縣尖石鄉嘉樂村6鄰3號","121.225247","24.728317","03-5841173"
"新竹縣民宿060號","拾月山房民宿","315新竹縣峨眉鄉湖光村7鄰十四寮21號","120.989551","24.679071","03-5806989"
"新竹縣民宿061號","繪葉 41町民宿","315新竹縣峨眉鄉七星村17鄰藤坪26-8號","121.027528","24.63688","03-5800105"
"新竹縣民宿062號","山水屋民宿","314新竹縣北埔鄉南坑村9鄰大南坑7-7號","121.060107","24.670709","03-5802888"
"新竹縣民宿063號","黛安莊園","305新竹縣新埔鎮關埔路雲東段1102巷1弄9號","121.091073","24.815427","03-5888989"
"新竹縣民宿064號","綠色小徑","307新竹縣芎林鄉華龍村七鄰鹿寮坑166-7號","121.134095","24.74155","03-5935765、 0918-980099"
"新竹縣民宿065號","傳客莊民宿","312新竹縣橫山鄉沙坑村16鄰中豐路三段140號","121.167503","24.746322","03-5811599"
"新竹縣民宿066號","巴棍民宿","311新竹縣五峰鄉桃山村18鄰白蘭311號之2","121.0943627","24.5773165","03-5856351"
"新竹縣民宿067號","內灣營地民宿","312新竹縣橫山鄉豐田村2鄰油羅49號","121.1577741","24.7065379","03-5363526"
"新竹縣民宿069號","丘上民宿","310新竹縣竹東鎮瑞峰里4鄰96號","121.0970378","24.6490675","03-5804951"
"新竹縣民宿071號","八五山甜柿森林","313新竹縣尖石鄉新樂村八鄰煤源40號","121.278981","24.717318","0921-091321"
"新竹縣民宿072號","霽月山莊民宿","305新竹縣新埔鎮照門里6鄰九芎湖15-7號","121.105665","24.852699","03-5899239"
"新竹縣民宿073號","遷徙咖啡民宿","312新竹縣橫山鄉內灣村和平街18號","121.1797751","24.707025","0983-332511"
"新竹縣民宿074號","馥橙芳園","305新竹縣新埔鎮南平路277巷111弄159號","121.062221","24.849644","03-5897616"
"新竹縣民宿075號","鳳姊莊園民宿","315新竹縣峨眉鄉富興村18鄰12-6號","120.989248","24.709132","03-5806966"
"新竹縣民宿077號","拇指園","306新竹縣關西鎮上林里15鄰坪林58之6號","121.1401176","24.8019623","03-5868800"
"新竹縣民宿078號","美好關西民宿","306新竹縣關西鎮正義路132-1號","121.1761171","24.7948182","03-5879968"
"新竹縣民宿079號","小星星親子民宿","303新竹縣湖口鄉德興路287巷73弄8號","121.041102","24.913683","0926-310300"
"新竹縣民宿080號","綠野鮮境","314新竹縣北埔鄉南埔村1鄰南埔5-2號","121.045846","24.696987","03-5805848"
"新竹縣民宿082號","葛優森林民宿","313新竹縣尖石鄉秀巒村9鄰鎮西堡2號","121.308041","24.573111","0910-336271"
"新竹縣民宿083號","鹿林民宿","311新竹縣五峰鄉桃山村12鄰清泉202-3號","121.08997","24.56533","03-5856636"
"新竹縣民宿084號","毅韌休閒民宿","313新竹縣尖石鄉秀巒村9鄰鎮西堡5號","121.3080415","24.5731107","03-5847760"
"新竹縣民宿085號","嵩河源民宿","313新竹縣尖石鄉秀巒村9鄰鎮西堡14號","121.301673","24.573134","03-5847752、 0912-435233"
"新竹縣民宿086號","禾樂溫民宿","313新竹縣尖石鄉秀巒村八鄰斯馬庫斯21號","121.303179","24.579163","03-5847712"
"新竹縣民宿087號","北陵民宿","313新竹縣尖石鄉秀巒村八鄰斯馬庫斯7-1號","121.302261","24.580065","03-5847789"
"新竹縣民宿088號","森籟園渡假民宿","313新竹縣尖石鄉秀巒村9鄰鎮西堡4-1號","121.3118378","24.5729445","0910-336271"
"新竹縣民宿089號","雅屋民宿","313新竹縣尖石鄉秀巒村8鄰斯馬庫斯10號","121.3344606","24.578691","03-5847761"
"新竹縣民宿090號","希莉克民宿","313新竹縣尖石鄉秀巒村八鄰斯馬庫斯14號","121.303217","24.58036","03-5847715"
"新竹縣民宿091號","看星星民宿","313新竹縣尖石鄉秀巒村9鄰鎮西堡8-1號","121.3070628","24.5743191","03-5847775"
"新竹縣民宿092號","分享家民宿","313新竹縣尖石鄉錦屏村1鄰比麟26-3號臨","121.22832","24.691903","0958-419001"
"新竹縣民宿093號","野漾會館","312新竹縣橫山鄉福興村5鄰馬福89號","121.1867845","24.7278929","03-5911789"
"新竹縣民宿094號","慕懷樹農莊","313新竹縣尖石鄉錦屏村1鄰比麟26之6號臨","121.228631","24.692419","0933-118754"
"新竹縣民宿095號","淇?莊園","311新竹縣五峰鄉大隘村14鄰大隘278之15號臨","121.0824302","24.6280875","03-6590860"
"新竹縣民宿096號","淇邑莊園","311新竹縣五峰鄉大隘村14鄰大隘278之17號臨","121.0824302","24.6280875","03-6590861"
"新竹縣民宿098號","加草花園山莊","311新竹縣五峰鄉桃山村20鄰民石365號","121.126462","24.531065","0912-098508"
"新竹縣民宿099號","璞真山居","311新竹縣五峰鄉桃山村18鄰白蘭315之5號臨","121.0820765","24.584265","0921-853863"
"新竹縣民宿100號","新埔森Villa","305新竹縣新埔鎮巨埔里12鄰新龍路752巷38號","121.127447","24.841539","0936-210254"
"新竹縣民宿101號","蟬說：霧繞","311新竹縣五峰鄉桃山村18鄰白蘭298之3號","121.0946477","24.5767443","0917-168752"
"新竹縣民宿104號","馬雅民宿","311新竹縣五峰鄉桃山村18鄰白蘭305號","121.0872723","24.5855089","0988-517051"
"新竹縣民宿105號","登美山莊","312新竹縣橫山鄉南昌村4鄰薯園24之1號","121.1125803","24.6725761","03-5961551"
"新竹縣民宿106號","天山農場","311新竹縣五峰鄉桃山村20鄰民石353-5號臨","121.1315548","24.5417247","0933-982274"
"新竹縣民宿108號","阿慕依民宿","311新竹縣五峰鄉桃山村18鄰白蘭309-6號","121.09086","24.581775","03-2856170"
"新竹縣民宿109號","巴斯瓜藍民宿","311新竹縣五峰鄉桃山村18鄰白蘭312號","121.0875937","24.5854775","0911-575840"
"新竹縣民宿110號","挪亞","313新竹縣尖石鄉義興村8鄰馬胎54號臨","121.1779132","24.6897362","03-5841828"
"新竹縣民宿111號","桃花園民宿","311新竹縣五峰鄉大隘村23鄰茅圃471-6號","121.101801","24.616508","03-5851408、 0963-007241"
"新竹縣民宿112號","酋長民宿","313新竹縣尖石鄉義興村7鄰馬胎21-8號臨","121.176469","24.686612","03-5841368"
"新竹縣民宿113號","恩典民宿","313新竹縣尖石鄉義興村7鄰馬胎21號臨","121.176469","24.686612","0982-916011"
"新竹縣民宿114號","望雲?家民宿","312新竹縣橫山鄉力行村中山街一段83號","121.1629517","24.7170407","0933-877112"
"新竹縣民宿116號","北埔莊園印象民宿","314新竹縣北埔鄉水?村4鄰麻布樹排37之2號","121.069299","24.708808","0932-230111"
"新竹縣民宿117號","共享山莊","313新竹縣尖石鄉秀巒村7鄰泰崗110號","121.2955537","24.6121854","0981-206652"
"新竹縣民宿118號","田園之家","308新竹縣寶山鄉山湖村山湖二路75號","121.0380822","24.743653","0936-382812"
"新竹縣民宿120號","松林別苑","311新竹縣五峰鄉竹林村5鄰和平166-2號臨","121.1595842","24.5995719","0917-866283"
"新竹縣民宿121號","巴奈築夢園","311新竹縣五峰鄉大隘村23鄰茅圃457之一號臨","121.022371","24.8361326","0937-189508"
"新竹縣民宿122號","尤瑪山莊","311新竹縣五峰鄉大隘村23鄰茅圃471號","121.101801","24.616508","0921-241749"
"新竹縣民宿123號","山居別林","314新竹縣北埔鄉溝背段面盆寮56-11號","121.054934","24.722307","0931-191068"
"新竹縣民宿124號","茅店B&B","314新竹縣北埔鄉南埔村南埔2鄰17之1號","121.040919","24.696787","03-5804998"
"新竹縣民宿125號","葛萊絲鄉村小屋","308新竹縣寶山鄉雙新村10鄰吉林路33巷6號","120.9766305","24.7626408","0928-516576"
"新竹縣民宿126號","民都有麗京山莊","311新竹縣五峰鄉桃山村13鄰清泉209-18號","121.102272","24.5753","0914-190313"
"新竹縣民宿127號","水禪居日式庭園民宿","314新竹縣北埔鄉南坑村9鄰大南坑1之9號","121.043434","24.65305","0921-258113"
"新竹縣民宿128號","SRC北埔印象民宿","314新竹縣北埔鄉水?村麻布樹排50號","121.069299","24.708808","03-5801100"
"新竹縣民宿129號","田園春曉","312新竹縣橫山鄉田寮村8鄰田洋街56巷15號","121.1067673","24.7097741","0955-205001"
"新竹縣民宿130號","沐目家民宿","314新竹縣北埔鄉南埔村17-3號","121.1525392","24.8073179","03-5802640、 0928-061323"
"新竹縣民宿131號","神仙居民宿","312新竹縣橫山鄉豐鄉村大山背29號","121.141063","24.698572","0955-280966"
"新竹縣民宿132號","天惠民宿","313新竹縣尖石鄉錦屏村2鄰比麟45-1號臨","121.022371","24.8361326","0989-883965"
"新竹縣民宿133號","北埔冷泉印象民宿","314新竹縣北埔鄉大林村6鄰小分林12之50號","121.058548","24.69149","0975-732311"
"新竹縣民宿134號","嵐霖園","311新竹縣五峰鄉新竹縣五峰鄉桃山村20鄰民石353-8號臨","121.1279173","24.541258","0928-222953"
"新竹縣民宿135號","小山坡屋仔","306新竹縣關西鎮北山里高橋坑13號之6","121.1614","24.8046","0933-220811"
"新竹縣民宿136號","九福客家莊園","305新竹縣新埔鎮照門里6鄰九芎湖15-1號","121.1054503","24.854375","0921-166546"
"新竹縣民宿137號","崗好山莊","313新竹縣尖石鄉秀巒村7鄰泰崗48-2號臨","121.2961578","24.611494","0908-273191"
"新竹縣民宿138號","布拉谷民宿","311新竹縣五峰鄉桃山村17鄰清泉297之9號臨","121.102272","24.5753","0921-632897"
"新竹縣民宿139號","新竹小星星民宿","303新竹縣湖口鄉德興路287巷73弄1號","121.0411266","24.9134862","0926-310300"
"新竹縣民宿140號","空軍一號","311新竹縣五峰鄉花園村10鄰天湖219之17號臨","121.1653952","24.6659447","0920-057865"
"新竹縣民宿141號","自在居森林民宿","311新竹縣五峰鄉桃山村20鄰民石359號","121.1276358","24.5310333","0912-098508"
"新竹縣民宿142號","蘇珊藏美民宿","311新竹縣五峰鄉桃山村17鄰清泉296之28號臨","121.102272","24.5753","0905-881189"
"新竹縣民宿143號","雲山民宿","311新竹縣五峰鄉新竹縣五峰鄉桃山村20鄰民石371號","121.126377","24.538716","03-5856188、 0905-311625"
"新竹縣民宿144號","觀景山莊民宿","313新竹縣尖石鄉新竹縣尖石鄉秀巒村7鄰泰崗51號臨","121.29624","24.61169","0939-994405"
"新竹縣民宿145號","鎮西堡波塔休閒民宿","313新竹縣尖石鄉新竹縣尖石鄉秀巒村9鄰鎮西堡25號","121.3096237","24.5735416","0933-266949"
"新竹縣民宿146號","天湖民宿","311新竹縣五峰鄉新竹縣五峰鄉花園村10鄰天湖218之11號臨","121.1625","24.66508","0911-215732"